class,median,standard deviation,mean,kurtosis
3m_back_gunshot,1,0.744224231,0.4565924972,0.4426975329
3m_back_gunshot,0.8203647182,0.7641362301,0.4058959846,0.4077060297
3m_back_gunshot,0.5394274234,0.8067897968,1,0.3338409259
3m_back_gunshot,0.00000001402103697,0.9299495564,0.04620198433,0.3126589495
3m_back_gunshot,0.00000001807974346,0.9838637542,0.02024999246,0.2784268207
3m_back_gunshot,0.00000001857951165,1,0.2667202216,0.2743231734
3m_back_gunshot,-0.00000001065637677,0.6441733522,0.2157601994,0.4794280527
3m_back_gunshot,-0.00000001118017618,0.6127704696,-1.831342296,0.632224297
3m_back_gunshot,-0.00000001120024727,0.6644312928,-0.4699532359,0.5911881108
3m_back_gunshot,0.000000003080110497,0.6230499806,-0.05428412519,0.7568218156
3m_back_gunshot,0.000000002606846192,0.5371233961,-0.06359235122,1
3m_back_gunshot,0.000000002876656493,0.5648398796,-0.0106753462,0.9167814521
3m_front_gunshot,1,1,0.8459002012,0.009101109756
3m_front_gunshot,0,0.339227449,0.3502404079,0.09053698183
3m_front_gunshot,0,0.2323050678,0.4847843495,0.1766992683
3m_front_gunshot,0,0.3059507,-0.8264402762,0.1057764516
3m_front_gunshot,0.000004939074451,0.2055325249,-0.8371024883,0.2380436749
3m_front_gunshot,0,0.3058897387,-0.8261109477,0.1058186176
3m_front_gunshot,0,0.223533099,0.158459442,0.2015813008
3m_front_gunshot,0.000004939074451,0.2055325249,-0.8371024883,0.2380436749
3m_front_gunshot,0.000007713282132,0.1080610339,1,1
3m_front_gunshot,0,0.2323489131,0.484967369,0.1766325867
3m_front_gunshot,-0.0000001348377743,0.1742719378,-1.37582869,0.3016159464
3m_front_gunshot,-0.00000009074666928,0.7410177052,-28.48142599,0.01338749032
3m_side_gunshot,0.6843628328,0.9133258967,0.7613088553,0.3090592804
3m_side_gunshot,0.5402504472,0.9247236861,0.645782559,0.3290481637
3m_side_gunshot,1,0.871636359,1,0.3065662664
3m_side_gunshot,0.00000007746737872,0.9795670612,0.2898598924,0.283879959
3m_side_gunshot,0.00000001088214248,0.9765675336,-0.02043828733,0.3276155247
3m_side_gunshot,0.00000006274592234,1,0.1041230231,0.2761689495
3m_side_gunshot,0.00000000946427444,0.7130648858,-0.1575723743,0.5992404665
3m_side_gunshot,0.00000000809391771,0.6940045199,-0.1223166109,0.6490473533
3m_side_gunshot,0.000000008610649269,0.6773154426,-0.08208248033,0.6674168045
3m_side_gunshot,-0.00000002849636957,0.650925283,0.9092453088,0.5398941717
3m_side_gunshot,-0.00000002927228244,0.4631255876,0.893026465,1
3m_side_gunshot,-0.00000002624381774,0.6223905551,-2.726751757,0.5924051249
1m_back_gunshot,0.000000003542482399,0.6149704077,0.06862652932,0.9863759146
1m_back_gunshot,0.000000003995539589,0.6983181513,-0.01666144366,0.7781482557
1m_back_gunshot,0.6290143698,0.8126260517,-0.2655281506,0.507307335
1m_back_gunshot,1,0.7611482696,-0.4435213607,0.5953013463
1m_back_gunshot,0.5247974732,0.8730050135,-0.7773351566,0.3787119553
1m_back_gunshot,0.00000001709812904,1,-0.0243078816,0.3514226227
1m_back_gunshot,0.00000001905911853,0.984859452,-0.148322281,0.3540020376
1m_back_gunshot,0.00000002124402064,0.9392830694,-0.2159197972,0.3830253578
1m_back_gunshot,-0.00000001172027196,0.5704015785,0.5399083488,1
1m_back_gunshot,-0.000000004820185167,0.8692705231,1,0.4715432286
1m_back_gunshot,-0.00000000874189893,0.7468694076,0.2789058788,0.5791389423
1m_back_gunshot,0.00000000422726396,0.7348450425,0.0338721821,0.7142821467
1m_front_gunshot,0.0000001445730087,0.859627105,0.3626636387,0.3848225114
1m_front_gunshot,0.0000008256247671,0.8085385655,0.5337674275,0.371867351
1m_front_gunshot,0.0000002975710249,0.7591373368,0.3665487789,0.4478216158
1m_front_gunshot,0.0000000189906823,0.6297306354,0.01358065065,0.8699864659
1m_front_gunshot,0.00000001668470093,0.5871367729,0.0187864703,1
1m_front_gunshot,0.00000001985861136,0.6585435225,0.04315910504,0.7890176592
1m_front_gunshot,0.02981665164,1,0.7022389226,0.3048763188
1m_front_gunshot,0.2560264503,0.9530271275,1,0.3208506553
1m_front_gunshot,1,0.8226543596,0.7506628226,0.4231624776
1m_front_gunshot,0,0.7992701771,-1.965485896,0.4046123046
1m_front_gunshot,-0.00000005533297265,0.6351552548,-2.034454387,0.560026947
1m_front_gunshot,-0.00000003742951608,0.769852725,-0.1718922175,0.490297884
1m_side_gunshot,-0.000000003750609161,0.8220080053,-0.06981501786,0.4265683114
1m_side_gunshot,-0.00000000812469542,0.7216768124,-0.9966065548,0.5385765511
1m_side_gunshot,-0.000000008305215553,0.7244253455,-1.44399473,0.5593113682
1m_side_gunshot,0.4834791842,0.9114258452,-0.1846497692,0.3372334442
1m_side_gunshot,1,0.8172459581,-0.06307335474,0.4842155928
1m_side_gunshot,0.7710598921,0.8422402038,1,0.4669793889
1m_side_gunshot,0.00000002538788126,1,0.01714991034,0.321596216
1m_side_gunshot,0.00000002515705441,0.9506133177,0.3655819592,0.3548612847
1m_side_gunshot,0.00000001947442473,0.9857270694,0.380013864,0.332136026
1m_side_gunshot,0.000000002430972856,0.6124365907,0.3947021041,1
1m_side_gunshot,0.000000002351748789,0.6249364574,0.5019446548,0.95635515
1m_side_gunshot, 0.00000000289349881,0.6978765178,0.05845473025,0.7625456136
non_gunshot,-0.000096161,0.3885465634,-0.05490553584,0.001835651987
non_gunshot,-0.0000760098,0.5374393739,-0.3408596863,0.0009489044383
non_gunshot,0.0000395512,0.6594931801,1,0.0006083615719
non_gunshot,0,0.3589158445,0.0235593176,0.002138169057
non_gunshot,0.0000217576,0.2611513815,-0.008734516611,0.003938674045
non_gunshot,0.0000252416,0.2113402883,0.02160873069,0.005923340581
non_gunshot,-0.0000628786,0.4022593917,-0.03311487964,0.001775992408
non_gunshot,0,0.2739241459,-0.01134337288,0.003750246507
non_gunshot,0.000022326,0.4543526318,0.01061908798,0.001354089473
non_gunshot,0.0000208288,0.6202187817,-0.009337070616,0.0007274318468
non_gunshot,0,0.3266487349,0.1096637372,0.002103699618
non_gunshot,-0.000137366,0.3593370503,-0.02081456849,0.002188402452
non_gunshot,-0.0000227314,0.2469889891,-0.009321171511,0.004471384348
non_gunshot,0.0000221984,0.6207620977,0.003562618461,0.0007246415682
non_gunshot,0,0.354093856,-0.02612295587,0.002183940586
non_gunshot,-0.0000768574,0.4700968512,-0.3394853455,0.001357078943
non_gunshot,-0.0001161888,0.08039001825,-0.02692521204,0.0471798903
non_gunshot,0,0.2788966555,-0.01073286772,0.003630148313
non_gunshot,0,0.2884136342,-0.0359456791,0.003382248677
non_gunshot,0,0.5975364319,-0.03406412911,0.0007308562237
non_gunshot,0.0000223094,0.2569285402,-0.002849157797,0.004223123332
non_gunshot,-0.0000960972,0.2160440251,-0.07636561198,0.006187063568
non_gunshot,0,0.1420032408,0.006562061168,0.01363961291
non_gunshot,0,0.1684094933,-0.00843080543,0.009163411298
non_gunshot,0.0000227882,0.2009063904,-0.004874259576,0.006842435495
non_gunshot,0,0.2894292871,0.005449186872,0.003327598644
non_gunshot,0,0.6837268063,0.02105115922,0.0005766513643
non_gunshot,0,0.1758138961,-0.004678581919,0.008802714901
non_gunshot,0,0.2609276682,0.03166088337,0.003908923207
non_gunshot,0.0000270616,0.3041412294,0.03420281708,0.002968867997
non_gunshot,0,0.2022795596,-0.01542044529,0.006910540054
non_gunshot,0,0.2927189647,-0.003032154603,0.003185064105
non_gunshot,0,0.5055095886,-0.04102902096,0.001077730625
non_gunshot,0,0.1694052014,0.003117071672,0.009686133966
non_gunshot,0,0.4723527446,-0.01412250858,0.00116942775
non_gunshot,0.0000391972,0.4933862962,0.07436673827,0.001036877497
non_gunshot,0.0000216346,0.9061109953,0.02990155854,0.0003188115365
non_gunshot,0.000023014,1,-0.007888580211,0.0002559756039
non_gunshot,0,0.7863179736,-0.2336232726,0.0004197431899
non_gunshot,1,0.9307751379,0.4393195448,0.0002695704529
non_gunshot,-0.0001356708,0.0130074975,0.0001694969258,1
non_gunshot,0,0.1794411031,-0.004608965361,0.008580895744
non_gunshot,0,0.7988166193,-0.1000041525,0.0003831957354
non_gunshot,0.0000202528,0.8233436916,-0.01089275302,0.00040033762
non_gunshot,0.0000200572,0.6078751535,0.008852007241,0.0007544663221
non_gunshot,0.0000206324,0.6549355499,-0.00483787859,0.0006446319087
non_gunshot,-0.000093311,0.3921761519,-0.02263409525,0.001786804932
non_gunshot,-0.0000703886,0.8152629223,-0.003519142351,0.0003908841317
non_gunshot,0.000022744,0.724044478,-0.09074012034,0.0005014929908
non_gunshot,0,0.4139507338,-0.00817799115,0.001610098518
non_gunshot,0,0.6840473861,0.01998345303,0.0005759322575
non_gunshot,0,0.6237185663,-0.02539029823,0.0007105857791
non_gunshot,-0.0000843808,0.4115036822,-0.08322170796,0.001647008054
non_gunshot,0,0.4569835833,-0.1208362973,0.00110683643
non_gunshot,0,0.7582746536,0.0554087856,0.0004323068912
non_gunshot,0,0.569155914,-0.01860456836,0.0008619246494
non_gunshot,0,0.6549529987,-0.2100611831,0.0006100114697
non_gunshot,0,0.4260995787,-0.9927165308,0.001020219833
non_gunshot,0.0000209604,0.771833355,0.01799732764,0.0004133229156
non_gunshot,-0.0001602204,0.2655902132,-0.120449456,0.004068445372
non_gunshot,-0.0000676996,0.3927298866,-0.01781054484,0.001819384536
non_gunshot,0,0.2270678472,0.008355891243,0.005394949305
non_gunshot,0,0.7196582736,0.005478773961,0.0004968301387
non_gunshot,0,0.6904743809,-0.08907126064,0.0005524152955
non_gunshot,-0.0000206534,0.7570857113,-0.08741886037,0.0004445446419
non_gunshot,0.0000271242,0.2041687929,0.006670387051,0.006364992337
non_gunshot,0,0.3924147546,-0.01294618724,0.001747436083
non_gunshot,-0.0000757826,0.3120555878,-0.09631097279,0.002868359993
non_gunshot,0.0000212472,0.8569221303,-0.03141095155,0.0003602498619
non_gunshot,0,0.4322414182,-0.04072988095,0.001306766827
non_gunshot,0,0.4176692764,0.02410484555,0.001594266508
non_gunshot,-0.0000203114,0.5431056551,-0.04505740166,0.0009210433555
non_gunshot,-0.000107065,0.2772885573,-0.2073458076,0.003725880939
non_gunshot,0.0000213628,0.6636056505,0.06757863552,0.0006285803088
non_gunshot,0,0.7466942805,-0.2063999971,0.0004674222266
non_gunshot,0,0.6335186175,-0.1814329582,0.0005922642707
non_gunshot,0,0.3566576691,-0.04052684071,0.002179991965
non_gunshot,0,0.1128589129,-0.00681926285,0.01981600728
non_gunshot,0,0.3704481659,0.001297572742,0.002051374058
non_gunshot,0.0000256434,0.4581233368,0.01081272163,0.001331896663
non_gunshot,0,0.1892182989,0.001956730712,0.007605587851
non_gunshot,-0.0000287004,0.429654802,0.01172541413,0.001449637574
non_gunshot,0,0.3549677878,0.02487636519,0.002043322724
non_gunshot,-0.0002199434,0.1349726493,-0.009624940384,0.01441851891
non_gunshot,0,0.3193914693,0.0407929966,0.002599983833
